id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_fin_266510,266510,Reaseguradores Exterior,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_266515,266515,Riesgos Laborales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_266595,266595,Otras Reservas Especiales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2680,2680,Reservas Seguro De Depósitos ,,0,off_balance,chart_template_niif_financiero,
niif_fin_268005,268005,Seguro De Depósitos Instituciones Financieras,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_268010,268010,Seguro De Depósitos Entidades Cooperativas,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_268015,268015,Garantías Otorgadas Fondos De Cesantías,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_268020,268020,Técnicas Garantías Otorgadas Fondos De Pensiones,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_268025,268025,Pensiones Administradoras De Riesgos Laborales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_268030,268030,Administración Del Riesgo De Garantías –Fng- (Reserva De  Siniestralidad),group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_268095,268095,Otras Reservas Seguro De Depósitos ,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_27,27,Obligaciones Laborales,,0,off_balance,chart_template_niif_financiero,
niif_fin_2705,2705,Nomina Por Pagar,,0,off_balance,chart_template_niif_financiero,
niif_fin_270505,270505,Nomina Por Pagar,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_270595,270595,Otra Nomina Por Pagar,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2710,2710,Cesantías,,0,off_balance,chart_template_niif_financiero,
niif_fin_271005,271005,Cesantías,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_271095,271095,Otras Cesantías,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2715,2715,Intereses Sobre Cesantías,,0,off_balance,chart_template_niif_financiero,
niif_fin_271505,271505,Intereses Sobre Cesantías,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_271595,271595,Otros Intereses Sobre Cesantías,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2720,2720,Vacaciones,,0,off_balance,chart_template_niif_financiero,
niif_fin_272005,272005,Vacaciones,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_272095,272095,Otras Vacaciones,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2725,2725,Prima Legal,,0,off_balance,chart_template_niif_financiero,
niif_fin_272505,272505,Prima Legal,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_272595,272595,Otra Prima Legal,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2730,2730,Prima Extralegal,,0,off_balance,chart_template_niif_financiero,
niif_fin_273005,273005,Prima Extralegal,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_273095,273095,Otra Prima Extralegal,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
