id,city_id:l10n_co_edi_code,code,type,name
zip_co_05_6077,5091,56077,rural,056077 - Altos de Jaramillos- Angostura Baja-  Angostura Media-  Arboleda-  Area sin Levantar-  Barlovento-  Bellavista-  Cascada-  Cortaderal-  El Contento-  El Tablazo-  Guadualejo-  Guaduas-  Guarico-  Hermosa-  La Armenia-  La Florida-  La Ladera-  La Libia-
zip_co_05_6860,5093,56860,urban,056860 - Sin Informacion de Veredas
zip_co_05_6867,5093,56867,rural,056867 - Choclina- Ciénaga Claro Verde-  Cuchillón-  El Cuchuco-  El Encanto-  El Guadal-  El Indio-  El Retiro-  El Tostado-  El Yerbal-  La Asomadera-  La Ceibala-  La Corazonada-  La Favorita-  La Florida-  La Iracala-  La Mina-  La Miranda-  La Quiebra-  La Ta
zip_co_05_6868,5093,56868,rural,056868 - Buenavista- Cabecera Municipal-  El León-  La Cibeles-  La Falda
zip_co_05_6460,5101,56460,urban,056460 - Buena Vista- Sucia La María
zip_co_05_6467,5101,56467,rural,056467 - Abejero- Amaranto-  Cabecera Municipal-  Carmina-  El Chinchero-  El Dauro-  El Vergel-  La Argelia-  La Gulunga Abajo-  La Gulunga Arriba-  La Humareda-  La Siberia-  La Sierva-  Linda Dos-  Linda Tres-  Lindaja-  Manzanillo-  Mercedes-  Monos-  Montelor
zip_co_05_6468,5101,56468,rural,056468 - Billares- El Empuje-  Girardot-  La Gloria-  Manga Larga-  Sucia Indígena
zip_co_05_2060,5107,52060,urban,052060 - Sin Informacion de Veredas
zip_co_05_2067,5107,52067,rural,052067 - El Aro- El Guaico-  El Gurri-  El Polvillo-  Filadelfia-  La Calera-  La Rica-  La Rodríguez-  La Vélez-  Las Auras-  Palestina-  Quebradita-  Torrente-  Turco
zip_co_05_2068,5107,52068,rural,052068 - Alto del Chiri- Barrancas-  Berlín-  Buena Vista-  Cabecera Municipal-  Cascarela-  Cucurucho-  El Ánime-  El Cantaro-  El Cedral-  El Llano Yolombal-  El Pescado-  El Respaldo-  El Roblal-  Espíritu Santo-  Guriman-  La América-  La Calera-  La Candelari
zip_co_05_7030,5113,57030,urban,057030 - Sin Informacion de Veredas
zip_co_05_7037,5113,57037,rural,057037 - El Agrio- El León-  El Retiro-  El Siento-  Guadal-  La Candelaria-  La Cordillera-  La Loma El Sauce-  La Manga-  La Vega-  Las Brisas-  Las Cuatro-  Llano Chiquito-  Llanos de Urarco-  Madera-  Palenque-  San José de Juntas-  San Luis de Juntas-  Santa
zip_co_05_7038,5113,57038,rural,057038 - Bubara- Cabecera Municipal-  Chuchunco-  Costas-  Higabra-  La Palma-  Llano Grande-  Los Arados-  Mi Puerto-  Siara-  Usil
zip_co_05_2450,5120,52450,urban,052450 - Sin Informacion de Veredas
zip_co_05_2457,5120,52457,rural,052457 - El Porvenir- Pueblo Guapo-  Puerto Santo-  San Jose del Mar-  Vida Nueva
zip_co_05_2458,5120,52458,rural,052458 - Alto Caceri- Alto el Tigre-  Alto Tamaná-  Anara-  Arenales-  Asturias-  Barro Blanco-  Cabecera Municipal-  Calvario-  Campamento-  Campanario-  Candilejas-  Caño Prieto-  Corales el Peñon-  El Cacucho-  El Deseo-  El Jardin-  El Rayo-  El Tigre-  El Tor
zip_co_05_6840,5125,56840,urban,056840 - Sin Informacion de Veredas
zip_co_05_6847,5125,56847,rural,056847 - Alta Vista- Asesi-  Bella Aguada-  Chochal-  El Filo-  El Playon-  El Tambor (Cabecera Municipal)-  La Cortada-  La Manga-  La Noque-  Los Pinos-  Los Sauces
zip_co_05_5440,5129,55440,urban,055440 - La Corrala
zip_co_05_5447,5129,55447,rural,055447 - Sin Informacion de Veredas
zip_co_05_5448,5129,55448,rural,055448 - Aguacatala- Cabecera municipal-  El Cardal-  El Raizal-  La Bermejala-  La Chuscala-  La Clara-  La Culebra-  La Mina-  La Quiebra-  La Raya-  La Salada-  Piedra Verde-  Potrerillo-  Primavera
zip_co_05_2020,5134,52020,urban,052020 - Sin Informacion de Veredas
zip_co_05_2027,5134,52027,rural,052027 - Cabecera Municipal- Cañaveral-  Cañaveral-  Cañaveral-  Cañaveral Arriba-  Caracola-  Cedeño-  Chorros Blancos Abajo-  Chorros Blancos del Medio-  Cordillera-  El Guadal-  El Limón-  El Manzanillo-  El Oso-  El Pinal-  El Reposo-  Guaduas-  Guanteros-  Jo
zip_co_05_7060,5138,57060,urban,057060 - Sin Informacion de Veredas
