id,name,description,chart_template_id:id,type_tax_use,amount,sequence,price_include,tax_group_id:id,invoice_repartition_line_ids/id,invoice_repartition_line_ids/repartition_type,invoice_repartition_line_ids/factor_percent,invoice_repartition_line_ids/account_id:id,refund_repartition_line_ids/id,refund_repartition_line_ids/repartition_type,refund_repartition_line_ids/factor_percent,refund_repartition_line_ids/account_id:id
tax_tem_com_exc_0lt_inc,[Excluido 0%]<,[Exdo0%],chart_template_comercial,purchase,0,54,TRUE,tax_group_iva_01,tax_tem_com_base_exc_0lt_inc,base,,,tax_tem_com_base_exc_0lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exc_0lt_inc,tax,100,puc_com_240895,tax_tem_com_tax_exc_0lt_inc_rfnd,tax,100,puc_com_240895
tax_tem_com_iva_0lt,Iva 0%<,Iva0%,chart_template_comercial,purchase,0,55,FALSE,tax_group_iva_01,tax_tem_com_base_iva_0lt,base,,,tax_tem_com_base_iva_0lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_0lt,tax,100,puc_com_240895,tax_tem_com_tax_iva_0lt_rfnd,tax,100,puc_com_240895
tax_tem_com_iva_0gt_inc,[Iva 0%],[Iva0%],chart_template_comercial,sale,0,56,TRUE,tax_group_iva_01,tax_tem_com_base_iva_0gt_inc,base,,,tax_tem_com_base_iva_0gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_0gt_inc,tax,100,puc_com_240895,tax_tem_com_tax_iva_0gt_inc_rfnd,tax,100,puc_com_240895
tax_tem_com_iva_0lt_inc,[Iva 0%]<,[Iva0%],chart_template_comercial,purchase,0,57,TRUE,tax_group_iva_01,tax_tem_com_base_iva_0lt_inc,base,,,tax_tem_com_base_iva_0lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_0lt_inc,tax,100,puc_com_240895,tax_tem_com_tax_iva_0lt_inc_rfnd,tax,100,puc_com_240895
tax_tem_com_ica_2gt_bs,Ica 2‰\,Ica2‰\,chart_template_comercial,sale,0.2,58,FALSE,tax_group_ica_03,tax_tem_com_base_ica_2gt_bs,base,,,tax_tem_com_base_ica_2gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_ica_2gt_bs,tax,100,puc_com_236805,tax_tem_com_tax_ica_2gt_bs_rfnd,tax,100,puc_com_236805
tax_tem_com_rteica_2gt,RteIca 2‰,RteIca2‰,chart_template_comercial,sale,-0.2,59,FALSE,tax_group_rteica_07,tax_tem_com_base_rteica_2gt,base,,,tax_tem_com_base_rteica_2gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_rteica_2gt,tax,100,puc_com_236705,tax_tem_com_tax_rteica_2gt_rfnd,tax,100,puc_com_236705
tax_tem_com_ica_2gt_sl,Ica 2‰/,Ica2‰/,chart_template_comercial,sale,-0.2,60,FALSE,tax_group_ica_03,tax_tem_com_base_ica_2gt_sl,base,,,tax_tem_com_base_ica_2gt_sl_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_ica_2gt_sl,tax,100,puc_com_521505,tax_tem_com_tax_ica_2gt_sl_rfnd,tax,100,puc_com_521505
tax_tem_com_rteica_2lt,RteIca 2‰<,RteIca2‰,chart_template_comercial,purchase,-0.2,61,FALSE,tax_group_rteica_07,tax_tem_com_base_rteica_2lt,base,,,tax_tem_com_base_rteica_2lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_rteica_2lt,tax,100,puc_com_236805,tax_tem_com_tax_rteica_2lt_rfnd,tax,100,puc_com_236805
tax_tem_com_ica_2_5gt_bs,Ica 2.5‰\,Ica2.5‰\,chart_template_comercial,sale,0.25,62,FALSE,tax_group_ica_03,tax_tem_com_base_ica_2_5gt_bs,base,,,tax_tem_com_base_ica_2_5gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_ica_2_5gt_bs,tax,100,puc_com_236805,tax_tem_com_tax_ica_2_5gt_bs_rfnd,tax,100,puc_com_236805
tax_tem_com_rteica_2_5gt,RteIca 2.5‰,RteIca2.5‰,chart_template_comercial,sale,-0.25,63,FALSE,tax_group_rteica_07,tax_tem_com_base_rteica_2_5gt,base,,,tax_tem_com_base_rteica_2_5gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_rteica_2_5gt,tax,100,puc_com_236705,tax_tem_com_tax_rteica_2_5gt_rfnd,tax,100,puc_com_236705
tax_tem_com_ica_2_5gt_sl,Ica 2.5‰/,Ica2.5‰/,chart_template_comercial,sale,-0.25,64,FALSE,tax_group_ica_03,tax_tem_com_base_ica_2_5gt_sl,base,,,tax_tem_com_base_ica_2_5gt_sl_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_ica_2_5gt_sl,tax,100,puc_com_521505,tax_tem_com_tax_ica_2_5gt_sl_rfnd,tax,100,puc_com_521505
tax_tem_com_rteica_2_5lt,RteIca 2.5‰<,RteIca2.5‰,chart_template_comercial,purchase,-0.25,65,FALSE,tax_group_rteica_07,tax_tem_com_base_rteica_2_5lt,base,,,tax_tem_com_base_rteica_2_5lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_rteica_2_5lt,tax,100,puc_com_236805,tax_tem_com_tax_rteica_2_5lt_rfnd,tax,100,puc_com_236805
tax_tem_com_ica_3gt_bs,Ica 3‰\,Ica3‰\,chart_template_comercial,sale,0.3,66,FALSE,tax_group_ica_03,tax_tem_com_base_ica_3gt_bs,base,,,tax_tem_com_base_ica_3gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_ica_3gt_bs,tax,100,puc_com_236805,tax_tem_com_tax_ica_3gt_bs_rfnd,tax,100,puc_com_236805
