id,invoice_tax_id:id,repartition_type,factor_percent,account_id:id,refund_tax_id:id
tax_tem_com_tax_exc_0lt,tax_tem_com_exc_0lt,tax,100,puc_com_240895,
tax_tem_com_base_exc_0lt_rfnd,,base,,,tax_tem_com_exc_0lt
tax_tem_com_tax_exc_0lt_rfnd,,tax,100,puc_com_240895,tax_tem_com_exc_0lt
tax_tem_com_base_exc_0lt_inc,tax_tem_com_exc_0lt_inc,base,,,
tax_tem_com_tax_exc_0lt_inc,tax_tem_com_exc_0lt_inc,tax,100,puc_com_240895,
tax_tem_com_base_exc_0lt_inc_rfnd,,base,,,tax_tem_com_exc_0lt_inc
tax_tem_com_tax_exc_0lt_inc_rfnd,,tax,100,puc_com_240895,tax_tem_com_exc_0lt_inc
tax_tem_com_base_exe_0gt,tax_tem_com_exe_0gt,base,,,
tax_tem_com_tax_exe_0gt,tax_tem_com_exe_0gt,tax,100,puc_com_240895,
tax_tem_com_base_exe_0gt_rfnd,,base,,,tax_tem_com_exe_0gt
tax_tem_com_tax_exe_0gt_rfnd,,tax,100,puc_com_240895,tax_tem_com_exe_0gt
tax_tem_com_base_exe_0gt_inc,tax_tem_com_exe_0gt_inc,base,,,
tax_tem_com_tax_exe_0gt_inc,tax_tem_com_exe_0gt_inc,tax,100,puc_com_240895,
tax_tem_com_base_exe_0gt_inc_rfnd,,base,,,tax_tem_com_exe_0gt_inc
tax_tem_com_tax_exe_0gt_inc_rfnd,,tax,100,puc_com_240895,tax_tem_com_exe_0gt_inc
tax_tem_com_base_exe_0lt,tax_tem_com_exe_0lt,base,,,
tax_tem_com_tax_exe_0lt,tax_tem_com_exe_0lt,tax,100,puc_com_240895,
tax_tem_com_base_exe_0lt_rfnd,,base,,,tax_tem_com_exe_0lt
tax_tem_com_tax_exe_0lt_rfnd,,tax,100,puc_com_240895,tax_tem_com_exe_0lt
tax_tem_com_base_exe_0lt_inc,tax_tem_com_exe_0lt_inc,base,,,
tax_tem_com_tax_exe_0lt_inc,tax_tem_com_exe_0lt_inc,tax,100,puc_com_240895,
tax_tem_com_base_exe_0lt_inc_rfnd,,base,,,tax_tem_com_exe_0lt_inc
tax_tem_com_tax_exe_0lt_inc_rfnd,,tax,100,puc_com_240895,tax_tem_com_exe_0lt_inc
tax_tem_com_base_gmf_4gt,tax_tem_com_gmf_4gt,base,,,
tax_tem_com_tax_gmf_4gt,tax_tem_com_gmf_4gt,tax,100,puc_com_236705,
tax_tem_com_base_gmf_4gt_rfnd,,base,,,tax_tem_com_gmf_4gt
tax_tem_com_tax_gmf_4gt_rfnd,,tax,100,puc_com_236705,tax_tem_com_gmf_4gt
tax_tem_com_base_gmf_4gt_bs,tax_tem_com_gmf_4gt_bs,base,,,
tax_tem_com_tax_gmf_4gt_bs,tax_tem_com_gmf_4gt_bs,tax,100,puc_com_236705,
tax_tem_com_base_gmf_4gt_bs_rfnd,,base,,,tax_tem_com_gmf_4gt_bs
tax_tem_com_tax_gmf_4gt_bs_rfnd,,tax,100,puc_com_236705,tax_tem_com_gmf_4gt_bs
tax_tem_com_base_gmf_4gt_sl,tax_tem_com_gmf_4gt_sl,base,,,
tax_tem_com_tax_gmf_4gt_sl,tax_tem_com_gmf_4gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_gmf_4gt_sl_rfnd,,base,,,tax_tem_com_gmf_4gt_sl
tax_tem_com_tax_gmf_4gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_gmf_4gt_sl
tax_tem_com_base_ica_10gt_bs,tax_tem_com_ica_10gt_bs,base,,,
tax_tem_com_tax_ica_10gt_bs,tax_tem_com_ica_10gt_bs,tax,100,puc_com_236805,
